Gems Rush,Announced,,,,,,,10/30/2024,,8/11/2024,Casual,NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012695
Phantom Brave: The Hermuda Triangle Remastered,Announced,,,,,,,10/30/2024,,7/11/2024,Role Playing Games,NIS America,,,https://store.playstation.com/en-tr/concept/10010629
Metro Awakening Deluxe Edition,"1.749,00 TL",,"1.574,10 TL","1.749,00 TL",,,Pre-Order,10/30/2024,PS5,5/11/2024,"Shooter, Adventure, Action",Vertigo Games B.V,,,https://store.playstation.com/en-tr/concept/10009509
Goat Simulator: Remastered,Announced,,,,,,,10/30/2024,,7/11/2024,"Simulator, Casual, Adventure",COFFEE STAIN PUBLISHING AB,,,https://store.playstation.com/en-tr/concept/10003965
Skydivers Paradise,Announced,,,,,,,10/30/2024,,7/11/2024,Casual,NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012718
Magical Bakery,Announced,,,,,,,10/30/2024,,7/11/2024,"Casual, Family",SOEDESCO PUBLISHING B.V.,,,https://store.playstation.com/en-tr/concept/10009878
Empire of the Ants,"1.399,00 TL",,,,,,Pre-Order,10/30/2024,PS5,3/11/2024,"Adventure, Strategy",Microids,,,https://store.playstation.com/en-tr/concept/10007652
Taiko no Tatsujin: Rhythm Festival,"1.749,00 TL",,,,,,Pre-Order,10/30/2024,PS5,6/11/2024,Music/Rhythm,BANDAI NAMCO ENTERTAINMENT EUROPE,,,https://store.playstation.com/en-tr/concept/10008356
SlavicPunk: Oldtimer,Announced,,,,,,,10/30/2024,,6/11/2024,Action,Gaming Factory S.A.,,,https://store.playstation.com/en-tr/concept/10009798
Duck Run,Announced,,,,,,,10/30/2024,,6/11/2024,"Adventure, Casual",Afil Games,,,https://store.playstation.com/en-tr/concept/10012269
O.W.L Projekt,Announced,,,,,,,10/30/2024,,6/11/2024,"Casual, Puzzle, Family",eastasiasoft,,,https://store.playstation.com/en-tr/concept/10012429
Metal Slug Tactics,Announced,,,,,,,10/30/2024,,5/11/2024,Strategy,DOTEMU,,,https://store.playstation.com/en-tr/concept/10009982
Back Then,Announced,,,,,,,10/30/2024,,5/11/2024,"Adventure, Puzzle",GAMMERA NEST SL,,,https://store.playstation.com/en-tr/concept/10005526
Roll Ball,Announced,,,,,,,10/30/2024,,1/11/2024,"Casual, Puzzle",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012617
Knight Shooter,Announced,,,,,,,10/30/2024,,1/11/2024,"Action, Action, Action","S.R.L. ""RandomSpin-Games""",,,https://store.playstation.com/en-tr/concept/10012326
Megaton,Announced,,,,,,,10/30/2024,,1/11/2024,"Horror, Action, Unique",EpiXR Games UG,,,https://store.playstation.com/en-tr/concept/10011265
CAFE 0 ~The Sleeping Beast~ REMASTERED PS4 & PS5,Announced,,,,,,,10/30/2024,,31/10/2024,"Adventure, Adventure",ROSEVERTE,,,https://store.playstation.com/en-tr/concept/10012131
Farmagia,Announced,,,,,,,10/30/2024,,31/10/2024,Role Playing Games,Marvelous Europe Limited,,,https://store.playstation.com/en-tr/concept/10009622
Raiden NOVA,Announced,,,,,,,10/30/2024,,31/10/2024,Action,UFO Interactive Games,,,https://store.playstation.com/en-tr/concept/10012082
The Exit Project: Backstreets,Announced,,,,,,,10/30/2024,,31/10/2024,"Horror, Puzzle",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012268
Blind - The Unseen Truth,"293,30 TL","419,00 TL","251,40 TL","419,00 TL",3.14,7 ratings,Add to Cart,10/30/2024,PS5,7/10/2024,"Horror, Adventure, Role Playing Games",HAPPY PLAYER PTE. LTD.,English,,"Chinese (Simplified), Chinese (Traditional), English, Japanese",https://store.playstation.com/en-tr/concept/10012339
Buildozer Simulator,"34,50 TL",,,,3,2 ratings,Add to Cart,10/30/2024,PS5,30/10/2024,Simulation,KODOBUR YAZILIM BILISIM TASARIM ARG,,,English,https://store.playstation.com/en-tr/concept/10012788
Crazy Chicken Invasion,"699,00 TL",,,,4,4 ratings,Add to Cart,10/30/2024,PS5,22/9/2024,"Shooter, Casual, Arcade",Markt+Technik Verlag GmbH,,,"Dutch, English, French (France), German, Italian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish",https://store.playstation.com/en-tr/concept/10011665
Monospaced Lovers,,,,,,,,10/30/2024,,31/10/2024,Adventure,Astrolabe Games,,,https://store.playstation.com/en-tr/concept/10011059
Self-Delusion,Announced,,,,,,,10/30/2024,,31/10/2024,Horror,Sometimes You,,,https://store.playstation.com/en-tr/concept/10010060
Shadows of the Damned: Hella Remastered,"629,00 TL",,,,,,Pre-Order,10/30/2024,"PS4, PS5",30/10/2024,Action,NETEASE INTERACTIVE ENTERTAINMENT PTE.LTD,,,https://store.playstation.com/en-tr/concept/10008909
Totally Spies! - Cyber Mission,Announced,,,,,,,10/30/2024,,30/10/2024,Adventure,Microids,,,https://store.playstation.com/en-tr/concept/10011421
Vampire Hunters,Announced,,,,,,,10/30/2024,,30/10/2024,"Shooter, Arcade, Action",Gamecraft Studios,,,https://store.playstation.com/en-tr/concept/10011203
Skater's Solstice PS4 & PS5,"175,00 TL",,,,2,1 rating,Add to Cart,10/30/2024,"PS4, PS5",29/10/2024,"Casual, Puzzle, Family",eastasiasoft,,,English,https://store.playstation.com/en-tr/concept/10012316
Bottle: Pilgrim Redux,"389,00 TL",,,,3.52,27 ratings,Add to Cart,10/30/2024,PS5,30/10/2024,Adventure,CATNESS GAME STUDIOS SL,English,,"English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Spanish, Turkish",https://store.playstation.com/en-tr/concept/10011250
Phasmophobia,"665,00 TL",,,,4.89,3k ratings,Add to Cart,10/30/2024,PS5,29/10/2024,"Horror, Puzzle",Kinetic Games Limited,English,,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish",https://store.playstation.com/en-tr/concept/10005673
Life is Strange: Double Exposure Ultimate Edition,"3.149,00 TL",,,,4.55,671 ratings,Add to Cart,10/30/2024,PS5,29/10/2024,Adventure,Square Enix LTD,"English, French (France), German, Japanese",,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",https://store.playstation.com/en-tr/concept/10008183
Backrooms: Partygoers PS4® & PS5®,"419,00 TL",,,,5,1 rating,Add to Cart,10/30/2024,"PS4, PS5",28/10/2024,"Horror, Horror, Adventure",Ratalaika Games SL,,,English,https://store.playstation.com/en-tr/concept/10011798
Clock Tower: Rewind,"699,00 TL",,,,4.91,79 ratings,Add to Cart,10/30/2024,"PS4, PS5",28/10/2024,Horror,"WayForward Technologies, Inc.",English,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",https://store.playstation.com/en-tr/concept/10010305
DARKNESS ROLLERCOASTER - PSVR2 REMASTERED VERSION,"349,00 TL",,"296,65 TL","349,00 TL",4.23,13 ratings,Add to Cart,10/30/2024,PS5,28/10/2024,"Music/Rhythm, Shooter, Action",CREATIVE VR 3D,English,,"English, French (France), German, Italian, Spanish",https://store.playstation.com/en-tr/concept/10010770
Monster High™ Skulltimate Secrets™,"1.399,00 TL",,,,5,2 ratings,Add to Cart,10/30/2024,"PS4, PS5",28/10/2024,"Family, Adventure, Family",Outright Games LLC,"Arabic, Dutch, English, French (France), German, Polish, Spanish, Spanish (Mexico)",,"Arabic, Chinese (Simplified), Chinese (Traditional), Danish, Dutch, English, Finnish, French (France), German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico), Swedish",https://store.playstation.com/en-tr/concept/10009033
The Legend of Santa,"125,00 TL",,,,4.2,5 ratings,Add to Cart,10/30/2024,PS5,28/10/2024,"Family, Adventure, Action","Plow Digital, LLC DBA Plow Games",,,"Chinese (Simplified), Chinese (Traditional), Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Spanish",https://store.playstation.com/en-tr/concept/10010996
ROAD TO EXOTICS!,"769,00 TL",,,,3.5,4 ratings,Add to Cart,10/30/2024,PS5,29/8/2024,"Driving/Racing, Action",JGABRIB LTDA,,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish, Turkish",https://store.playstation.com/en-tr/concept/10010819
Vengeance Hunters,"699,00 TL",,,,3.9,10 ratings,Add to Cart,10/30/2024,PS5,27/10/2024,Action,Nalua Studio SLU,English,,English,https://store.playstation.com/en-tr/concept/10009710
Defense Master,"244,30 TL","349,00 TL","209,40 TL","349,00 TL",4.17,6 ratings,Add to Cart,10/30/2024,PS5,26/10/2024,"Action, Arcade",HAPPY PLAYER PTE. LTD.,,,"Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Spanish",https://store.playstation.com/en-tr/concept/10012480
Fears to Fathom - Ironbark Lookout,"389,00 TL",,"311,20 TL","389,00 TL",4.68,216 ratings,Add to Cart,10/30/2024,PS5,25/10/2024,Horror,RAYLL STUDIOS PRIVATE LIMITED,English,,"Chinese (Simplified), English, French (France), German, Japanese, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish",https://store.playstation.com/en-tr/concept/10011662
Ys X: Nordics,"2.099,00 TL",,,,4.73,2.6k ratings,Add to Cart,10/30/2024,"PS4, PS5",25/10/2024,Role Playing Games,NIS America,"English, Japanese",,"English, French (France)",https://store.playstation.com/en-tr/concept/10007199
Path Builder,"69,00 TL",,,,4.48,25 ratings,Add to Cart,10/30/2024,PS5,25/10/2024,"Casual, Puzzle",NOSTRA GAMES LTD,,,English,https://store.playstation.com/en-tr/concept/10012473
Rookie Boxing,"349,00 TL",,,,1,6 ratings,Add to Cart,10/30/2024,PS5,25/10/2024,Sport,Benoit Varasse trading as Pix Arts,,,English,https://store.playstation.com/en-tr/concept/10012918
SONIC X SHADOW GENERATIONS PS4 & PS5,"1.599,00 TL",,,,4.85,2k ratings,Add to Cart,10/30/2024,"PS4, PS5",25/10/2024,Action,"SEGA of America, Inc.","English, French (France), German, Italian, Japanese, Spanish",,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Thai",https://store.playstation.com/en-tr/concept/10008755
Cursed Feed,"69,00 TL",,,,3.67,42 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,Horror,Playstige Interactive,English,,English,https://store.playstation.com/en-tr/concept/10010536
Cute Bite PS4® & PS5®,"525,00 TL",,,,0,No ratings,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,"Adventure, Adventure, Adventure",Ratalaika Games SL,,,English,https://store.playstation.com/en-tr/concept/10009966
Don't let him in,"244,30 TL","349,00 TL",,,3.31,13 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,Adventure,Dolores Entertainment S.L.,,,"English, French (France), Italian, Portuguese (Brazil), Spanish",https://store.playstation.com/en-tr/concept/10012420
Hang Glider Simulator,"139,00 TL",,,,5,1 rating,Add to Cart,10/30/2024,PS5,24/10/2024,"Simulation, Simulator",ASIMCORPORATION S.R.L.,,,English,https://store.playstation.com/en-tr/concept/10011834
Moe Waifu H - BlockBlast PS4 & PS5,"175,00 TL",,,,4.5,8 ratings,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,"Action, Adult, Puzzle",eastasiasoft,,,English,https://store.playstation.com/en-tr/concept/10012382
Wild & Horror Pinball,"419,00 TL",,,,5,1 rating,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,Arcade,"SUPER POWERUP GAMES, SOCIEDAD LIMITADA",English,,"English, Japanese, Spanish",https://store.playstation.com/en-tr/concept/10009796
Barbie Project Friendship™,"1.399,00 TL",,,,4.83,6 ratings,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,"Family, Casual, Adventure",Outright Games LLC,"Dutch, English, French (France), German, Italian, Spanish, Spanish (Mexico)",,"Arabic, Chinese (Traditional), Danish, Dutch, English, Finnish, French (France), German, Italian, Norwegian, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico), Swedish",https://store.playstation.com/en-tr/concept/10008807
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"2.799,00 TL",,,,4.02,432k ratings,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,Action,Activision Blizzard Int'l BV,"English, French (France), German, Italian, Polish, Russian, Spanish",,"English, French (France), German, Italian, Polish, Russian, Spanish",https://store.playstation.com/en-tr/concept/10001130
Miraculous: Paris Under Siege - Deluxe Edition,"2.099,00 TL",,"1.889,10 TL","2.099,00 TL",4.1,10 ratings,Add to Cart,10/30/2024,"PS4, PS5",24/10/2024,Action,GAMEMILL ENTERTAINMENT,"English, French (France)",,"Dutch, English, French (France), German, Italian, Spanish",https://store.playstation.com/en-tr/concept/10010300
Rogue Flight,"699,00 TL",,,,4.66,86 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,Arcade,PERPETUAL,"English, Japanese",,"English, French (France), German, Italian, Japanese, Spanish",https://store.playstation.com/en-tr/concept/10012771
Slay the Princess - The Pristine Cut,"529,00 TL",,"476,10 TL","529,00 TL",4.82,284 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,"Horror, Adventure",Serenity Forge,English,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",https://store.playstation.com/en-tr/concept/10011143
Puppet House,"629,00 TL",,,,4.73,30 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,Action,Gaming Factory S.A.,English,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Turkish",https://store.playstation.com/en-tr/concept/10011585
Whitewater VR - Extreme Kayaking Adventure,"699,00 TL",,,,3.81,53 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,"Simulation, Driving/Racing, Arcade",Fitnect Interactive Kft.,,,English,https://store.playstation.com/en-tr/concept/10011488
Big Adventure: Trip To Europe 7 CE,"349,00 TL",,,,5,2 ratings,Add to Cart,10/30/2024,PS5,24/10/2024,Adventure,OCEAN MEDIA LLC,,,"English, French (France), German, Russian",https://store.playstation.com/en-tr/concept/10012046
Clutter 14,"245,00 TL",,,,4,1 rating,Add to Cart,10/30/2024,PS5,24/10/2024,Puzzle,OCEAN MEDIA LLC,,,English,https://store.playstation.com/en-tr/concept/10012048
